,joblinks
69,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-cbtw-3802864062?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=5ewIkOJurlNRjkVsmxiKPA%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
70,https://de.linkedin.com/jobs/view/business-data-analyst-w-m-d-at-robert-half-3792176156?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=gpt4VAJ7Pr0wCU0iSNryBA%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
71,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-100%25-remote-at-publicplan-gmbh-3801936372?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=EIqXkcFna4568D933ELYvA%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card
72,https://de.linkedin.com/jobs/view/duales-studium-mediendesign-b-a-am-campus-oder-online-at-iu-internationale-hochschule-3802370420?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=jQVDIMstMEbJDrrCMkvZPw%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card
73,https://de.linkedin.com/jobs/view/business-analyst-dubai-uae-at-cobblestone-energy-3780712045?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=eWX9UdrVJLYJPNZkv6wZ9g%3D%3D&position=6&pageNum=3&trk=public_jobs_jserp-result_search-card
74,https://de.linkedin.com/jobs/view/performance-marketing-analyst-m-w-d-at-myne-3789059410?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=idO2aaKfGq9W%2FdcH0DCSvA%3D%3D&position=7&pageNum=3&trk=public_jobs_jserp-result_search-card
75,https://de.linkedin.com/jobs/view/business-intelligence-data-analyst-at-maximon-the-longevity-company-builder-3788415610?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=Dd4fu%2FR6pwyMDJkVYSmxPg%3D%3D&position=8&pageNum=3&trk=public_jobs_jserp-result_search-card
76,https://de.linkedin.com/jobs/view/commercial-insights-analyst-m-w-d-at-dr-kade-health-care-2726484396?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=oCZi0whZUV1g4NLdmh8Vxg%3D%3D&position=9&pageNum=3&trk=public_jobs_jserp-result_search-card
77,https://de.linkedin.com/jobs/view/senior-business-analyst-in-digitalisierung-baumanagement-at-deutsche-bahn-3764599958?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=t3FBT4jsj2Xn5FjDms9ZEg%3D%3D&position=10&pageNum=3&trk=public_jobs_jserp-result_search-card
78,https://de.linkedin.com/jobs/view/business-analyst-schwerpunkt-accounting-at-odoo-3785673862?refId=duDjYqPYlBeSVVBMlNF8DA%3D%3D&trackingId=Dzh2Gj0OL0R%2Fu9X2kJQuJQ%3D%3D&position=11&pageNum=3&trk=public_jobs_jserp-result_search-card
